revGrowth,EPS,GrossMargin,Class
467.1,1330,108.7,1
484.1,-175030,37.3,0
81.9,5610,635.5,0
-547,-15260,1000,0
259.7,-1830,1000,0
1563.6,-310,966.8,1
-927.3,-260,57.8,0
536.2,-990,795.3,1
-16.6,340,422,1
-1000,-810,0,1
344.4,980,899.9,0
74227.8,-290,1000,1
-86,-3190,1000,1
52.2,680,499.1,0
63.5,940,704.2,1
-2.5,-1640,1000,0
461.9,120,63.3,1
286.3,-370,561.1,1
2027.4,-830,732.2,1
-108.1,2021.8,674,0
0,-2650,0,0
13016.2,-1010,1000,1
198.8,-710,855.3,0
79,1820,549.3,0
0,-12600,0,0
-313.8,-3390,1000,1
65,-620,898.7,1
84.6,4540,512.2,1
38.5,-210,597.2,0
860.8,-1500,1000,0
812.4,1700,564,0
38.7,1790,315,1
-397.1,-1250,1000,0
0,-2170,0,0
153.7,1810,759.5,1
0,-1020,0,1
1541.7,-710,1000,1
112.7,-360,760.8,1
191.7,-2460,1000,0
324.8,-2150,271.8,0
169.1,-470,386.6,0
0,-4960,1000,1
105.7,2020,371,0
-127.7,-19800,1000,0
1514578.9,-2230,399.5,0
0,-4320,1000,1
70.7,2780,274.9,1
417,-2040,369.7,1
1291.3,-710,1000,1
473.3,-1910,1000,1
0,-2570,0,0
74,-13630,1000,0
56.2,-500,646.3,1
135,530,441.9,1
-1000,-130,0,0
0,-4730,0,0
2340.6,-1390,665.3,0
36.3,3880,426.8,0
6711,-260,937.9,1
0,-22720,0,1
0,-3000,0,0
1150.2,-940,386.2,1
2583.4,-2360,774.1,0
156906.7,3450,1000,0
113.4,2720,364.2,1
63.2,-200,416.2,0
-982.1,-10800,1000,0
-223.5,-610,1000,0
-683.4,-350,1000,0
346.8,-3170,1000,1
0,-700,0,0
61.1,1122,748.3,1
0,-3240,0,1
161.4,190,796.8,1
-17.5,1050,462.5,1
396.2,-1970,386.7,1
20.4,-1803.9,355.5,1
0,-130,0,0
45,11710,546.6,1
-214.8,-680,991,0
196.2,2850,671,1
-325.3,-910,120.5,0
125.2,2800,399.2,1
265.9,-200,706.9,1
0,-480,0,0
-719.8,-640,-1730.7,0
76,-80,625.8,0
495.3,-6460,352.1,1
-343.9,-1100,965.6,1
8083.7,-7820,1000,0
115.9,-5000,716.8,0
0,-3800,0,0
9837.8,-56140,-2506.2,0
15.2,220,327.5,0
47.5,-740,555.1,1
0,-2250,0,1
177.4,1860,330.5,1
0,-11300,1000,1
-64.1,-520,1000,0
394.5,-1790,1000,1
0,-1970,0,0
392.8,-10780,328.1,1
23.9,-230,434.4,1
106,-500,724.5,1
0,-5460,0,0
0,-240,0,0
716.3,-310,1000,1
0,-30450,0,0
0,-14200,0,1
0,-2000,0,0
30,910,157.5,0
-408.3,-2430,1000,0
-48.2,-1750,273.5,1
56.6,2460,1000,0
269.1,2330,859.7,1
